operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,date,frameRate,expName,session,participant,
increase,DIVIDE,double,9,8,triple,4,8,0,0,0,5,['space'],[0.5078764530921944],1,0,0.164045381865,2015_Jul_07_1327,None,KRITL,001,,
ADD,triple ,half,8,2,0,3,4,0,1,1,3,['space'],[0.10859611799514823],3,0,0.18348270358,2015_Jul_07_1327,None,KRITL,001,,
increase,DIVIDE,triple,3,3,0,3,2,0,2,2,4,['space'],[0.18331122147401402],4,0,0.160280124769,2015_Jul_07_1327,None,KRITL,001,,
0,ADD,decrease,7,5,0,2,3,0,3,3,0,['space'],[0.20629367325500425],5,0,0.154032926664,2015_Jul_07_1327,None,KRITL,001,,
