operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,0,0,5,,,,,['space'],[5.071765961241908],None,0,,,,,,,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,1,1,3,,,,,['space'],[4.570507317548618],None,0,,,,,,,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,2,2,4,,,,,None,,6,0,7.49058265769,,,,,,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,3,3,0,,,,,['space'],[7.150721922167577],7,1,9.09267067979,,,,,,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,4,4,2,,,,,['space'],[5.200361792230979],7,1,1.69283075311,,,,,,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,5,5,1,,,,,['space'],[5.741268848592881],8,1,5.44902134466,,,,,,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'INCREASE', 'THIRD', 'x', 'y')",double,4,"(2, 3, 6, 2)",2,2,3,6,increase,DIVIDE,third,BUUUxy,,,,,0,0,0,10,,,,,,space,11.9748033293,4,0,9.79529726075,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('SUBTRACT', 'INCREASE', 'x', 'y')",increase,2,"(6, 2)",2,2,4,5,0,SUBTRACT,0,BUxy,,,,,0,1,1,1,,,,,,space,5.23571335326,2,1,2.87237146799,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('TIMES', 'THIRD', 'DOUBLE', 'x', 'y')",third,3,"(6, 2, 4)",4,4,2,3,double,TIMES,0,BUUxy,,,,,0,2,2,5,,,,,,space,2.56351609709,4,1,8.70030422322,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('DECREASE', 'TRIPLE', 'HALF', 'ADD', 'x', 'y')",triple,4,"(6, 3, 9, 8)",8,8,2,4,half,decrease,ADD,UUUBxy,,,,,0,3,3,16,,,,,,space,2.57718812046,9,0,9.44432343484,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('ADD', 'THIRD', 'x', 'y')",third,2,"(1, 7)",7,7,6,3,0,ADD,0,BUxy,,,,,0,4,4,0,,,,,,space,4.42176863842,7,1,3.43010896817,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('DOUBLE', 'ADD', 'x', 'y')",ADD,2,"(4, 8)",8,8,2,2,0,double,0,UBxy,,,,,0,5,5,2,,,,,,space,1.566708114,8,1,4.11879125418,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('TIMES', 'INCREASE', 'HALF', 'TRIPLE', 'x', 'y')",increase,4,"(6, 3, 4, 8)",8,8,2,2,half,TIMES,triple,BUUUxy,,,,,0,6,6,11,,,,,,space,4.13035859709,2,0,11.9959960678,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('DECREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",triple,3,"(2, 6, 5)",5,5,4,8,DIVIDE,decrease,0,UUBxy,,,,,0,7,7,8,,,,,,space,2.54199229309,7,0,9.92367681436,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('THIRD', 'INCREASE', 'SUBTRACT', 'x', 'y')",increase,3,"(2, 3, 1)",1,1,6,8,SUBTRACT,third,0,UUBxy,,,,,0,8,8,9,,,,,,space,5.67980266258,1,1,7.05709969159,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('TRIPLE', 'DOUBLE', 'SUBTRACT', 'DECREASE', 'x', 'y')",double,4,"(4, 1, 2, 6)",6,6,3,5,SUBTRACT,triple,decrease,UUBUxy,,,,,0,9,9,15,,,,,,space,3.65590925585,4,0,6.99655775918,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('INCREASE', 'ADD', 'TRIPLE', 'x', 'y')",ADD,3,"(6, 8, 9)",9,9,2,2,triple,increase,0,UBUxy,,,,,0,10,10,6,,,,,,space,4.5401801822,9,1,8.65324813355,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'HALF', 'x', 'y')",DIVIDE,4,"(2, 6, 2, 3)",3,3,3,4,triple,increase,half,UBUUxy,,,,,0,11,11,12,,,,,,space,7.13064556714,3,1,7.59648720652,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('DIVIDE', 'TRIPLE', 'HALF', 'x', 'y')",triple,3,"(4, 12, 4)",4,4,3,8,half,DIVIDE,0,BUUxy,,,,,0,12,12,4,,,,,,space,1.41449989693,4,1,6.58352875873,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('THIRD', 'TIMES', 'HALF', 'INCREASE', 'x', 'y')",TIMES,4,"(8, 4, 12, 4)",4,4,3,7,half,third,increase,UBUUxy,,,,,0,13,13,13,,,,,,space,5.75094008941,4,1,11.6369286365,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('THIRD', 'INCREASE', 'ADD', 'DOUBLE', 'x', 'y')",increase,4,"(16, 20, 21, 7)",7,7,4,8,ADD,third,double,UUBUxy,,,,,0,14,14,14,,,,,,space,7.0507062088,7,1,9.67363665602,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('DOUBLE', 'TIMES', 'x', 'y')",TIMES,2,"(4, 8)",8,8,2,2,0,double,0,UBxy,,,,,0,15,15,3,,,,,,space,1.99295733491,8,1,2.8385383985,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('TRIPLE', 'DECREASE', 'HALF', 'SUBTRACT', 'x', 'y')",decrease,4,"(4, 2, 1, 3)",3,3,5,9,half,triple,SUBTRACT,UUUBxy,,,,,0,16,16,17,,,,,,space,9.18116769515,3,1,11.1892147555,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('INCREASE', 'SUBTRACT', 'THIRD', 'x', 'y')",SUBTRACT,3,"(3, 1, 2)",2,2,2,9,third,increase,0,UBUxy,,,,,0,17,17,7,,,,,,space,8.88571452571,2,1,8.73257505579,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('THIRD', 'TIMES', 'HALF', 'x', 'y')",TIMES,3,"(3, 18, 6)",6,6,6,6,half,third,0,UBUxy,,,,,0,0,0,7,,,,,,space,4.51783221419,6,1,6.59024630778,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('TIMES', 'DOUBLE', 'x', 'y')",double,2,"(4, 8)",8,8,2,2,0,TIMES,0,BUxy,,,,,0,1,1,1,,,,,,space,1.17571316432,8,1,5.45024971641,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('INCREASE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(3, 4)",4,4,3,6,0,increase,0,UBxy,,,,,0,2,2,2,,,,,,space,2.67095278611,4,1,1.83842816006,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('HALF', 'TRIPLE', 'INCREASE', 'SUBTRACT', 'x', 'y')",triple,4,"(1, 2, 6, 3)",3,3,2,3,increase,half,SUBTRACT,UUUBxy,,,,,0,3,3,17,,,,,,space,5.76505656634,3,1,5.93016268749,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('DECREASE', 'TRIPLE', 'DIVIDE', 'DOUBLE', 'x', 'y')",triple,4,"(6, 2, 6, 5)",5,5,3,3,DIVIDE,decrease,double,UUBUxy,,,,,0,4,4,14,,,,,,space,6.16204849025,4,0,6.58391301869,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('INCREASE', 'ADD', 'HALF', 'TRIPLE', 'x', 'y')",ADD,4,"(6, 3, 6, 7)",7,7,3,2,half,increase,triple,UBUUxy,,,,,0,5,5,13,,,,,,space,4.1255430996,7,1,15.8271421877,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'DECREASE', 'x', 'y')",triple,3,"(4, 12, 3)",3,3,9,5,decrease,SUBTRACT,0,BUUxy,,,,,0,6,6,4,,,,,,space,3.29602011031,3,1,5.45914123865,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('TIMES', 'HALF', 'INCREASE', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,5,increase,TIMES,0,BUUxy,,,,,0,7,7,5,,,,,,space,1.93492464063,9,1,4.49089657492,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('DOUBLE', 'DIVIDE', 'TRIPLE', 'INCREASE', 'x', 'y')",DIVIDE,4,"(5, 15, 3, 6)",6,6,5,4,triple,double,increase,UBUUxy,,,,,0,8,8,12,,,,,,space,3.23631494056,5,0,6.72860646993,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('DOUBLE', 'DECREASE', 'ADD', 'x', 'y')",decrease,3,"(4, 3, 6)",6,6,2,2,ADD,double,0,UUBxy,,,,,0,9,9,8,,,,,,space,1.89534867037,6,1,10.9587799013,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('THIRD', 'DECREASE', 'TIMES', 'HALF', 'x', 'y')",decrease,4,"(4, 16, 15, 5)",5,5,4,8,TIMES,third,half,UUBUxy,,,,,0,10,10,15,,,,,,space,8.13379838812,5,1,7.89778721594,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('THIRD', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(3, 1)",1,1,2,6,0,third,0,UBxy,,,,,0,11,11,3,,,,,,space,1.815266177,1,1,3.06137379562,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('DOUBLE', 'THIRD', 'TIMES', 'x', 'y')",third,3,"(12, 4, 8)",8,8,6,2,TIMES,double,0,UUBxy,,,,,0,12,12,9,,,,,,space,1.86102460208,8,1,7.74821002432,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
,,,,,,,,"('THIRD', 'DIVIDE', 'DECREASE', 'x', 'y')",DIVIDE,3,"(6, 3, 1)",1,1,2,7,decrease,third,0,UBUxy,,,,,0,13,13,6,,,,,,space,3.2225141307,1,1,4.80603729002,2015_Jul_24_1535,243.790238018,KRITL,001,31030,
