operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,0,0,3,,,,,['space'],[5.933263502316549],8,1,2.95007877355,,,,,,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,1,1,2,,,,,['space'],[1.8500370346009731],7,1,2.0169179074,,,,,,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,2,2,0,,,,,['space'],[3.6500111473724246],7,1,2.95004855283,,,,,,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,3,3,1,,,,,['space'],[2.800031988415867],8,1,2.05006947927,,,,,,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,4,4,4,,,,,['space'],[4.516670724609867],4,0,5.91665692581,,,,,,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,5,5,5,,,,,['space'],[5.699978845426813],7,0,10.8999023815,,,,,,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
,,,,,,,,"('TRIPLE', 'INCREASE', 'SUBTRACT', 'x', 'y')",increase,3,"(1, 2, 6)",6,6,2,3,SUBTRACT,triple,0,UUBxy,,,,,0,0,0,9,,,,,,space,7.88325731596,6,1,6.35000168206,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
,,,,,,,,"('THIRD', 'INCREASE', 'HALF', 'TIMES', 'x', 'y')",increase,4,"(28, 14, 15, 5)",5,5,4,7,half,third,TIMES,UUUBxy,,,,,0,1,1,17,,,,,,space,8.16659006942,7,0,18.7330702608,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
,,,,,,,,"('INCREASE', 'TIMES', 'TRIPLE', 'HALF', 'x', 'y')",TIMES,4,"(1, 3, 6, 7)",7,7,2,2,triple,increase,half,UBUUxy,,,,,0,2,2,13,,,,,,space,6.68329358054,7,1,14.1998340141,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
,,,,,,,,"('ADD', 'HALF', 'x', 'y')",half,2,"(2, 7)",7,7,5,4,0,ADD,0,BUxy,,,,,0,3,3,0,,,,,,space,2.91671423102,7,1,1.90009482461,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'x', 'y')",triple,2,"(12, 9)",9,9,3,4,0,SUBTRACT,0,BUxy,,,,,0,4,4,1,,,,,,space,1.71673367498,9,1,2.58341292408,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
,,,,,,,,"('HALF', 'SUBTRACT', 'DECREASE', 'TRIPLE', 'x', 'y')",SUBTRACT,4,"(15, 14, 10, 5)",5,5,4,5,decrease,half,triple,UBUUxy,,,,,0,5,5,12,,,,,,space,9.98322350276,5,1,5.05010796781,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
,,,,,,,,"('DECREASE', 'THIRD', 'DOUBLE', 'ADD', 'x', 'y')",third,4,"(9, 18, 6, 5)",5,5,4,5,double,decrease,ADD,UUUBxy,,,,,0,6,6,16,,,,,,space,16.1331020782,5,1,7.64995384216,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
,,,,,,,,"('INCREASE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(4, 5)",5,5,2,8,0,increase,0,UBxy,,,,,0,7,7,3,,,,,,space,1.50005844585,5,1,4.53336682334,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
,,,,,,,,"('TRIPLE', 'DOUBLE', 'SUBTRACT', 'INCREASE', 'x', 'y')",double,4,"(5, 1, 2, 6)",6,6,4,4,SUBTRACT,triple,increase,UUBUxy,,,,,0,8,8,14,,,,,,space,6.58333651698,6,1,8.11663434585,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
,,,,,,,,"('HALF', 'TIMES', 'DECREASE', 'x', 'y')",TIMES,3,"(8, 16, 8)",8,8,2,9,decrease,half,0,UBUxy,,,,,0,9,9,6,,,,,,space,3.1500943969,7,0,6.79998637224,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
,,,,,,,,"('DIVIDE', 'TRIPLE', 'DECREASE', 'x', 'y')",triple,3,"(6, 18, 9)",9,9,2,7,decrease,DIVIDE,0,BUUxy,,,,,0,10,10,4,,,,,,space,9.21660680487,6,0,8.81661319127,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'x', 'y')",DIVIDE,3,"(6, 2, 3)",3,3,3,2,triple,increase,0,UBUxy,,,,,0,11,11,7,,,,,,space,3.70001676399,3,1,6.38333372306,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
,,,,,,,,"('TRIPLE', 'INCREASE', 'DIVIDE', 'DOUBLE', 'x', 'y')",increase,4,"(16, 2, 3, 9)",9,9,8,8,DIVIDE,triple,double,UUBUxy,,,,,0,12,12,15,,,,,,None,,None,0,,2017_Apr_28_0922,59.9996579085,KRITL,002,31048,
