operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
,,,,,,,,"('ADD', 'TRIPLE', 'DOUBLE', 'DECREASE', 'x', 'y')",triple,4,"(1, 2, 6, 8)",8,8,2,2,double,ADD,decrease,BUUUxy,,,,,0,15,15,11,,,,,,space,3.48336177692,8,1,4.36672229925,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('INCREASE', 'ADD', 'HALF', 'x', 'y')",ADD,3,"(1, 4, 5)",5,5,3,2,half,increase,0,UBUxy,,,,,0,16,16,7,,,,,,space,0.933404912706,3,0,3.65011406876,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DECREASE', 'TIMES', 'x', 'y')",TIMES,2,"(9, 8)",8,8,3,3,0,decrease,0,UBxy,,,,,0,17,17,2,,,,,,space,2.28339462075,8,1,2.96673182165,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('HALF', 'SUBTRACT', 'TRIPLE', 'x', 'y')",SUBTRACT,3,"(9, 2, 1)",1,1,7,3,triple,half,0,UBUxy,,,,,0,0,0,6,,,,,,space,4.00002366351,1,1,4.89999617962,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('ADD', 'THIRD', 'INCREASE', 'HALF', 'x', 'y')",third,4,"(2, 3, 1, 7)",7,7,6,4,increase,ADD,half,BUUUxy,,,,,0,1,1,10,,,,,,space,2.06673877826,7,1,4.61670305533,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DOUBLE', 'DECREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",decrease,4,"(1, 3, 2, 4)",4,4,4,4,triple,double,DIVIDE,UUUBxy,,,,,0,2,2,17,,,,,,space,2.30003512464,6,0,15.7831189279,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DOUBLE', 'DECREASE', 'SUBTRACT', 'x', 'y')",decrease,3,"(5, 4, 8)",8,8,2,7,SUBTRACT,double,0,UUBxy,,,,,0,3,3,8,,,,,,space,2.10008136788,8,1,7.71661820868,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'SUBTRACT', 'x', 'y')",triple,3,"(1, 3, 6)",6,6,3,4,SUBTRACT,double,0,UUBxy,,,,,0,4,4,9,,,,,,space,1.66675542807,6,1,9.1667884998,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DOUBLE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(1, 2)",2,2,7,8,0,double,0,UBxy,,,,,0,5,5,2,,,,,,space,3.46666567819,2,1,1.0834420044,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('ADD', 'DOUBLE', 'x', 'y')",double,2,"(4, 8)",8,8,4,2,0,ADD,0,BUxy,,,,,0,6,6,0,,,,,,space,3.88335282449,8,1,1.75007940084,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DECREASE', 'HALF', 'TRIPLE', 'DIVIDE', 'x', 'y')",half,4,"(4, 12, 6, 5)",5,5,2,8,triple,decrease,DIVIDE,UUUBxy,,,,,0,7,7,16,,,,,,space,11.5332291191,5,1,10.2332427474,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('INCREASE', 'DIVIDE', 'THIRD', 'x', 'y')",DIVIDE,3,"(3, 1, 2)",2,2,3,9,third,increase,0,UBUxy,,,,,0,8,8,7,,,,,,space,2.70005354192,2,1,9.71656175889,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('SUBTRACT', 'HALF', 'TRIPLE', 'x', 'y')",half,3,"(12, 6, 2)",2,2,4,4,triple,SUBTRACT,0,BUUxy,,,,,0,9,9,5,,,,,,space,1.43340576813,2,1,5.31668332592,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('HALF', 'TIMES', 'x', 'y')",TIMES,2,"(16, 8)",8,8,4,4,0,half,0,UBxy,,,,,0,10,10,3,,,,,,space,0.666790210176,8,1,3.66671722475,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DECREASE', 'ADD', 'DOUBLE', 'THIRD', 'x', 'y')",ADD,4,"(3, 6, 10, 9)",9,9,4,9,double,decrease ,third,UBUUxy,,,,,0,11,11,12,,,,,,space,2.31675289059,9,1,7.44992481871,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'x', 'y')",double,2,"(12, 2)",2,2,6,6,0,DIVIDE,0,BUxy,,,,,0,12,12,1,,,,,,space,0.883435219061,2,1,1.96674664738,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DIVIDE', 'INCREASE', 'DOUBLE', 'THIRD', 'x', 'y')",increase,4,"(2, 4, 5, 1)",1,1,5,6,double,DIVIDE,third,BUUUxy,,,,,0,13,13,11,,,,,,space,2.80004253704,1,1,4.91670567822,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DECREASE', 'TIMES', 'DOUBLE', 'THIRD', 'x', 'y')",TIMES,4,"(1, 2, 8, 7)",7,7,4,3,double,decrease,third,UBUUxy,,,,,0,14,14,13,,,,,,space,1.7000655164,7,1,4.58338640956,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'DIVIDE', 'DECREASE', 'x', 'y')",triple,4,"(8, 1, 3, 6)",6,6,8,9,DIVIDE,double,decrease,UUBUxy,,,,,0,15,15,15,,,,,,space,2.3167503248,6,1,3.13338546874,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DECREASE', 'THIRD', 'TIMES', 'HALF', 'x', 'y')",third,4,"(2, 12, 4, 3)",3,3,6,4,TIMES,decrease,half,UUBUxy,,,,,0,16,16,14,,,,,,space,3.41670311196,3,1,6.66668757424,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'THIRD', 'x', 'y')",double,3,"(2, 4, 1)",1,1,4,6,third,DIVIDE,0,BUUxy,,,,,0,17,17,4,,,,,,space,1.49999714876,1,1,9.18327875575,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('THIRD', 'DOUBLE', 'ADD', 'INCREASE', 'x', 'y')",double,4,"(10, 12, 24, 8)",8,8,2,9,ADD,third,increase,UUBUxy,,,,,0,0,0,14,,,,,,space,4.51667300565,6,0,10.5165940323,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('TRIPLE', 'DECREASE', 'HALF', 'TIMES', 'x', 'y')",decrease,4,"(6, 3, 2, 6)",6,6,2,3,half,triple,TIMES,UUUBxy,,,,,0,1,1,17,,,,,,space,5.18335630326,6,1,19.0664354307,2017_May_12_0909,60.0001710472,KRITL,001,31053,
