operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,0,0,4,,,,,['space'],[3.0558671202743426],4,0,7.94403453998,,,,,,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,1,1,3,,,,,['space'],[3.1799564715474844],8,1,7.68552246573,,,,,,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,2,2,1,,,,,['space'],[6.183107192744501],8,1,2.43561389367,,,,,,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,3,3,0,,,,,['space'],[4.876015287823975],7,1,1.79368952851,,,,,,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,4,4,2,,,,,['space'],[2.6949294841033407],7,1,1.43194102694,,,,,,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,5,5,5,,,,,['space'],[7.020745135232573],9,1,14.9471145686,,,,,,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DECREASE', 'THIRD', 'TIMES', 'HALF', 'x', 'y')",third,4,"(2, 12, 4, 3)",3,3,6,4,TIMES,decrease,half,UUBUxy,,,,,0,0,0,14,,,,,,space,13.2577561532,2,0,14.9650743445,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('HALF', 'SUBTRACT', 'TRIPLE', 'x', 'y')",SUBTRACT,3,"(9, 2, 1)",1,1,7,3,triple,half,0,UBUxy,,,,,0,1,1,6,,,,,,space,8.17798197758,1,1,3.28473203821,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'SUBTRACT', 'x', 'y')",triple,3,"(1, 3, 6)",6,6,3,4,SUBTRACT,double,0,UUBxy,,,,,0,2,2,9,,,,,,space,4.2178946127,6,1,2.99404537136,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('ADD', 'DOUBLE', 'x', 'y')",double,2,"(4, 8)",8,8,4,2,0,ADD,0,BUxy,,,,,0,3,3,0,,,,,,space,4.69902055719,8,1,2.049726661,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('INCREASE', 'DIVIDE', 'THIRD', 'x', 'y')",DIVIDE,3,"(3, 1, 2)",2,2,3,9,third,increase,0,UBUxy,,,,,0,4,4,7,,,,,,space,4.51158396623,8,0,19.7197366455,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'DIVIDE', 'DECREASE', 'x', 'y')",triple,4,"(8, 1, 3, 6)",6,6,8,9,DIVIDE,double,decrease,UUBUxy,,,,,0,5,5,15,,,,,,space,8.50052687002,6,1,5.46200848941,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('SUBTRACT', 'HALF', 'TRIPLE', 'x', 'y')",half,3,"(12, 6, 2)",2,2,4,4,triple,SUBTRACT,0,BUUxy,,,,,0,6,6,5,,,,,,space,6.91597481802,2,1,8.18266728867,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DOUBLE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(1, 2)",2,2,7,8,0,double,0,UBxy,,,,,0,7,7,2,,,,,,space,2.88599974592,2,1,2.8360795551,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DIVIDE', 'INCREASE', 'DOUBLE', 'THIRD', 'x', 'y')",increase,4,"(2, 4, 5, 1)",1,1,5,6,double,DIVIDE,third,BUUUxy,,,,,0,8,8,11,,,,,,space,6.85184331014,2,0,9.15867974175,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DECREASE', 'HALF', 'TRIPLE', 'DIVIDE', 'x', 'y')",half,4,"(4, 12, 6, 5)",5,5,2,8,triple,decrease,DIVIDE,UUUBxy,,,,,0,9,9,16,,,,,,space,12.5191382779,5,1,4.67366430312,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('ADD', 'THIRD', 'INCREASE', 'HALF', 'x', 'y')",third,4,"(2, 3, 1, 7)",7,7,6,4,increase,ADD,half,BUUUxy,,,,,0,10,10,10,,,,,,space,9.87490450373,3,0,13.5061378345,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DOUBLE', 'DECREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",decrease,4,"(1, 3, 2, 4)",4,4,4,4,triple,double,DIVIDE,UUUBxy,,,,,0,11,11,17,,,,,,space,15.7657848404,1,0,6.59897509697,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DECREASE', 'ADD', 'DOUBLE', 'THIRD', 'x', 'y')",ADD,4,"(3, 6, 10, 9)",9,9,4,9,double,decrease ,third,UBUUxy,,,,,0,12,12,12,,,,,,space,15.0454469576,9,1,13.7022472205,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('HALF', 'TIMES', 'x', 'y')",TIMES,2,"(16, 8)",8,8,4,4,0,half,0,UBxy,,,,,0,13,13,3,,,,,,space,7.19954532743,8,1,1.91277860155,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DECREASE', 'TIMES', 'DOUBLE', 'THIRD', 'x', 'y')",TIMES,4,"(1, 2, 8, 7)",7,7,4,3,double,decrease,third,UBUUxy,,,,,0,14,14,13,,,,,,space,10.0148510503,7,1,6.61180580806,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DOUBLE', 'DECREASE', 'SUBTRACT', 'x', 'y')",decrease,3,"(5, 4, 8)",8,8,2,7,SUBTRACT,double,0,UUBxy,,,,,0,15,15,8,,,,,,space,6.78633469599,2,0,5.39600677669,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'x', 'y')",double,2,"(12, 2)",2,2,6,6,0,DIVIDE,0,BUxy,,,,,0,16,16,1,,,,,,space,4.83024041439,2,1,2.49683545521,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'THIRD', 'x', 'y')",double,3,"(2, 4, 1)",1,1,4,6,third,DIVIDE,0,BUUxy,,,,,0,17,17,4,,,,,,space,3.73562183787,1,1,3.02727300406,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('TRIPLE', 'DECREASE', 'HALF', 'SUBTRACT', 'x', 'y')",decrease,4,"(4, 2, 1, 3)",3,3,5,9,half,triple,SUBTRACT,UUUBxy,,,,,0,0,0,17,,,,,,space,18.4065091808,3,1,4.80613597971,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('THIRD', 'INCREASE', 'SUBTRACT', 'x', 'y')",increase,3,"(2, 3, 1)",1,1,6,8,SUBTRACT,third,0,UUBxy,,,,,0,1,1,9,,,,,,space,4.98200137817,1,1,4.60948869985,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('THIRD', 'INCREASE', 'ADD', 'DOUBLE', 'x', 'y')",increase,4,"(16, 20, 21, 7)",7,7,4,8,ADD,third,double,UUBUxy,,,,,0,2,2,14,,,,,,space,11.6866787451,7,1,8.93129761907,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('THIRD', 'TIMES', 'HALF', 'INCREASE', 'x', 'y')",TIMES,4,"(8, 4, 12, 4)",4,4,3,7,half,third,increase,UBUUxy,,,,,0,3,3,13,,,,,,space,8.22624159168,4,1,6.19509169218,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('TIMES', 'INCREASE', 'HALF', 'TRIPLE', 'x', 'y')",increase,4,"(6, 3, 4, 8)",8,8,2,2,half,TIMES,triple,BUUUxy,,,,,0,4,4,11,,,,,,space,10.3528685282,8,1,8.10397729996,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DOUBLE', 'ADD', 'x', 'y')",ADD,2,"(4, 8)",8,8,2,2,0,double,0,UBxy,,,,,0,5,5,2,,,,,,space,2.73866407041,8,1,3.52452841547,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('TRIPLE', 'DOUBLE', 'SUBTRACT', 'DECREASE', 'x', 'y')",double,4,"(4, 1, 2, 6)",6,6,3,5,SUBTRACT,triple,decrease,UUBUxy,,,,,0,6,6,15,,,,,,space,4.61148559148,6,1,5.25686724589,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DECREASE', 'TRIPLE', 'HALF', 'ADD', 'x', 'y')",triple,4,"(6, 3, 9, 8)",8,8,2,4,half,decrease,ADD,UUUBxy,,,,,0,7,7,16,,,,,,space,10.545510826,8,1,8.04375103457,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('INCREASE', 'SUBTRACT', 'THIRD', 'x', 'y')",SUBTRACT,3,"(3, 1, 2)",2,2,2,9,third,increase,0,UBUxy,,,,,0,8,8,7,,,,,,space,4.19430392436,2,1,6.00427655372,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DECREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",triple,3,"(2, 6, 5)",5,5,4,8,DIVIDE,decrease,0,UUBxy,,,,,0,9,9,8,,,,,,space,5.3617845478,5,1,4.22988401161,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DIVIDE', 'TRIPLE', 'HALF', 'x', 'y')",triple,3,"(4, 12, 4)",4,4,3,8,half,DIVIDE,0,BUUxy,,,,,0,10,10,4,,,,,,space,9.04250831425,4,1,5.97443341787,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DOUBLE', 'TIMES', 'x', 'y')",TIMES,2,"(4, 8)",8,8,2,2,0,double,0,UBxy,,,,,0,11,11,3,,,,,,space,2.64478916625,8,1,3.32110094314,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('TIMES', 'THIRD', 'DOUBLE', 'x', 'y')",third,3,"(6, 2, 4)",4,4,2,3,double,TIMES,0,BUUxy,,,,,0,12,12,5,,,,,,space,7.42962496862,4,1,4.57567942786,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('SUBTRACT', 'INCREASE', 'x', 'y')",increase,2,"(6, 2)",2,2,4,5,0,SUBTRACT,0,BUxy,,,,,0,13,13,1,,,,,,space,2.30343793624,2,1,5.82805034294,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'HALF', 'x', 'y')",DIVIDE,4,"(2, 6, 2, 3)",3,3,3,4,triple,increase,half,UBUUxy,,,,,0,14,14,12,,,,,,space,5.3489429878,3,1,4.23041630606,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'INCREASE', 'THIRD', 'x', 'y')",double,4,"(2, 3, 6, 2)",2,2,3,6,increase,DIVIDE,third,BUUUxy,,,,,0,15,15,10,,,,,,space,7.78233846297,2,1,7.69987446812,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('INCREASE', 'ADD', 'TRIPLE', 'x', 'y')",ADD,3,"(6, 8, 9)",9,9,2,2,triple,increase,0,UBUxy,,,,,0,16,16,6,,,,,,space,5.97105837008,9,1,4.6563064644,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
,,,,,,,,"('ADD', 'THIRD', 'x', 'y')",third,2,"(1, 7)",7,7,6,3,0,ADD,0,BUxy,,,,,0,17,17,0,,,,,,space,2.66033909362,7,1,1.99231935147,2017_Apr_14_1300,245.000514434,KRITL,001,31031,
