operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,0,0,0,,,,,['space'],[2.617143391078571],7,1,2.59546847874,,,,,,2017_May_12_0920,283.072891847,KRITL,002,31052,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,1,1,4,,,,,['space'],[3.0973203040193766],3,1,3.4448993176,,,,,,2017_May_12_0920,283.072891847,KRITL,002,31052,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,2,2,5,,,,,['space'],[3.934039813815616],9,1,7.20420997593,,,,,,2017_May_12_0920,283.072891847,KRITL,002,31052,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,3,3,1,,,,,['space'],[2.7449926525587216],8,1,1.71952764894,,,,,,2017_May_12_0920,283.072891847,KRITL,002,31052,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,4,4,2,,,,,['space'],[2.890154546854319],7,1,2.27630395061,,,,,,2017_May_12_0920,283.072891847,KRITL,002,31052,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,5,5,3,,,,,['space'],[2.8960514108475763],8,1,3.09037600295,,,,,,2017_May_12_0920,283.072891847,KRITL,002,31052,
,,,,,,,,"('DIVIDE', 'THIRD', 'x', 'y')",third,2,"(3, 1)",1,1,3,9,0,DIVIDE,0,BUxy,,,,,0,0,0,0,,,,,,space,4.5621020273,1,1,4.21203653186,2017_May_12_0920,283.072891847,KRITL,002,31052,
,,,,,,,,"('THIRD', 'TIMES', 'HALF', 'x', 'y')",TIMES,3,"(3, 18, 6)",6,6,6,6,half,third,0,UBUxy,,,,,0,1,1,7,,,,,,space,3.84845094456,6,1,11.0279829821,2017_May_12_0920,283.072891847,KRITL,002,31052,
,,,,,,,,"('DOUBLE', 'THIRD', 'TIMES', 'x', 'y')",third,3,"(12, 4, 8)",8,8,6,2,TIMES,double,0,UUBxy,,,,,0,2,2,9,,,,,,space,7.91007229869,8,1,4.91843114721,2017_May_12_0920,283.072891847,KRITL,002,31052,
,,,,,,,,"('THIRD', 'DECREASE', 'TIMES', 'HALF', 'x', 'y')",decrease,4,"(4, 16, 15, 5)",5,5,4,8,TIMES,third,half,UUBUxy,,,,,0,3,3,15,,,,,,space,6.69658902287,5,1,7.15565096305,2017_May_12_0920,283.072891847,KRITL,002,31052,
,,,,,,,,"('DECREASE', 'TRIPLE', 'HALF', 'SUBTRACT', 'x', 'y')",triple,4,"(4, 2, 6, 5)",5,5,2,6,half,decrease,SUBTRACT,UUUBxy,,,,,0,4,4,16,,,,,,space,8.00756233439,5,1,4.11153052142,2017_May_12_0920,283.072891847,KRITL,002,31052,
,,,,,,,,"('SUBTRACT', 'DOUBLE', 'TRIPLE', 'DECREASE', 'x', 'y')",double,4,"(2, 6, 12, 8)",8,8,4,3,triple,SUBTRACT,decrease,BUUUxy,,,,,0,5,5,10,,,,,,space,9.1574389202,1,0,14.1781461869,2017_May_12_0920,283.072891847,KRITL,002,31052,
