operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,execution.keys,execution.corr,encoding.rt,execution.rt,date,frameRate,expName,session,participant,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,0,0,1,,,,,['space'],[4.600020926445723],8,1,13.7664690154,,,,,,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,1,1,0,,,,,['space'],[0.20010400493629277],9,0,6.53331721562,,,,,,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,2,2,3,,,,,['space'],[16.549740757443942],8,1,7.63329765765,,,,,,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,3,3,4,,,,,['space'],[6.616628358606249],3,1,12.9331714148,,,,,,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,4,4,2,,,,,['space'],[2.3333913989481516],7,1,1.66670040367,,,,,,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,5,5,5,,,,,['space'],[13.583152626641095],9,1,15.2498151119,,,,,,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('THIRD', 'INCREASE', 'SUBTRACT', 'HALF', 'x', 'y')",increase,4,"(4, 2, 3, 1)",1,1,2,8,SUBTRACT,third,half,UUBUxy,,,,,0,0,0,15,,,,,,None,None,0,,,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('TIMES', 'THIRD', 'x', 'y')",third,2,"(1, 4)",4,4,4,3,0,TIMES,0,BUxy,,,,,0,1,1,1,,,,,,space,4,1,3.7000344402,2.68342415709,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('TIMES', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(6, 2, 1, 2)",2,2,2,3,third,TIMES,double,BUUUxy,,,,,0,2,2,11,,,,,,space,6,0,9.83323516347,13.4331825338,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('DECREASE', 'HALF', 'DIVIDE', 'x', 'y')",half,3,"(4, 2, 1)",1,1,2,8,DIVIDE,decrease,0,UUBxy,,,,,0,3,3,8,,,,,,space,1,1,6.63330535538,15.8331809943,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('SUBTRACT', 'THIRD', 'x', 'y')",third,2,"(3, 1)",1,1,2,9,0,SUBTRACT,0,BUxy,,,,,0,4,4,0,,,,,,space,1,1,1.60008792521,10.8998886965,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('INCREASE', 'DIVIDE', 'HALF', 'x', 'y')",DIVIDE,3,"(2, 1, 2)",2,2,2,4,half,increase,0,UBUxy,,,,,0,5,5,7,,,,,,space,2,1,4.61666428129,14.7664821302,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('INCREASE', 'TRIPLE', 'HALF', 'ADD', 'x', 'y')",triple,4,"(4, 2, 6, 7)",7,7,2,2,half,increase,ADD,UUUBxy,,,,,0,6,6,17,,,,,,space,7,1,12.8000302778,19.7163918386,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'INCREASE', 'HALF', 'x', 'y')",SUBTRACT,4,"(3, 4, 1, 3)",3,3,3,6,increase,triple,half,UBUUxy,,,,,0,7,7,13,,,,,,space,3,1,17.9164066068,11.2332438875,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('ADD', 'DECREASE', 'HALF', 'x', 'y')",decrease,3,"(3, 2, 6)",6,6,4,6,half,ADD,0,BUUxy,,,,,0,8,8,4,,,,,,space,None,0,2.26672760234,,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('DIVIDE', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(12, 4, 3, 1)",1,1,3,6,third,DIVIDE,double,BUUUxy,,,,,0,9,9,10,,,,,,space,1,1,14.399591621,9.01660344074,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('TRIPLE', 'HALF', 'TIMES', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,2,TIMES,triple,0,UUBxy,,,,,0,10,10,9,,,,,,space,9,1,2.2167125775,5.21668235678,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('INCREASE', 'HALF', 'TIMES', 'TRIPLE', 'x', 'y')",half,4,"(6, 12, 6, 7)",7,7,2,2,TIMES,increase,triple,UUBUxy,,,,,0,11,11,14,,,,,,space,7,1,13.3332035172,14.3164538196,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('SUBTRACT', 'DOUBLE', 'DECREASE', 'x', 'y')",double,3,"(8, 16, 7)",7,7,9,9,decrease,SUBTRACT,0,BUUxy,,,,,0,12,12,5,,,,,,space,7,1,16.4664578395,17.1496801449,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(2, 6)",6,6,6,8,0,triple,0,UBxy,,,,,0,13,13,3,,,,,,space,6,1,4.83332725114,7.6666217157,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('DECREASE', 'DIVIDE', 'TRIPLE', 'DOUBLE', 'x', 'y')",DIVIDE,4,"(6, 18, 2, 1)",1,1,9,3,triple,decrease,double,UBUUxy,,,,,0,14,14,12,,,,,,space,1,1,13.2664108549,18.5163776405,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('INCREASE', 'TIMES', 'x', 'y')",TIMES,2,"(8, 9)",9,9,4,2,0,increase,0,UBxy,,,,,0,15,15,2,,,,,,space,9,1,1.11675608391,2.06676500756,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('DOUBLE', 'TIMES', 'THIRD', 'x', 'y')",TIMES,3,"(1, 4, 8)",8,8,4,3,third,double,0,UBUxy,,,,,0,16,16,6,,,,,,space,1,0,5.4499949537,8.61663719674,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('DECREASE', 'HALF', 'TRIPLE', 'ADD', 'x', 'y')",half,4,"(4, 12, 6, 5)",5,5,2,2,triple,decrease,ADD,UUUBxy,,,,,0,17,17,16,,,,,,None,None,0,,,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('THIRD', 'TIMES', 'HALF', 'INCREASE', 'x', 'y')",TIMES,4,"(8, 4, 12, 4)",4,4,3,7,half,third,increase,UBUUxy,,,,,0,0,0,13,,,,,,space,4,1,12.0998373212,10.2165537761,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
,,,,,,,,"('SUBTRACT', 'INCREASE', 'x', 'y')",increase,2,"(6, 2)",2,2,4,5,0,SUBTRACT,0,BUxy,,,,,0,1,1,1,,,,,,space,2,1,0.950109849509,3.95003771887,2017_Apr_21_0933,59.9992473495,KRITL,001,31044,
