operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_execution.keys,practice_execution.corr,practice_execution.rt,practice_encoding.rt,encoding.keys,execution.keys,execution.corr,encoding.rt,execution.rt,date,frameRate,expName,session,participant,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'DECREASE', 'x', 'y')",triple,3,"(4, 12, 3)",3,3,9,5,decrease,SUBTRACT,0,BUUxy,,,,,0,12,12,4,,,,,,space,3,1,5.49404346733,4.04054977652,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DECREASE', 'TRIPLE', 'HALF', 'SUBTRACT', 'x', 'y')",triple,4,"(4, 2, 6, 5)",5,5,2,6,half,decrease,SUBTRACT,UUUBxy,,,,,0,13,13,16,,,,,,None,None,0,,,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DOUBLE', 'DIVIDE', 'TRIPLE', 'INCREASE', 'x', 'y')",DIVIDE,4,"(5, 15, 3, 6)",6,6,5,4,triple,double,increase,UBUUxy,,,,,0,14,14,12,,,,,,space,6,1,13.723726846,7.03042011918,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'DECREASE', 'DOUBLE', 'x', 'y')",triple,4,"(4, 3, 9, 1)",1,1,8,2,decrease,SUBTRACT,double,BUUUxy,,,,,0,15,15,11,,,,,,space,1,1,15.7785256861,5.64958069264,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('THIRD', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(3, 1)",1,1,2,6,0,third,0,UBxy,,,,,0,16,16,3,,,,,,space,1,1,1.74871345144,1.54188575759,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('TIMES', 'DOUBLE', 'x', 'y')",double,2,"(4, 8)",8,8,2,2,0,TIMES,0,BUxy,,,,,0,17,17,1,,,,,,space,8,1,2.35750604304,1.59366092365,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DOUBLE', 'TIMES', 'THIRD', 'x', 'y')",TIMES,3,"(1, 4, 8)",8,8,4,3,third,double,0,UBUxy,,,,,0,0,0,6,,,,,,space,8,1,12.3881224908,4.87073269137,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('TRIPLE', 'HALF', 'TIMES', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,2,TIMES,triple,0,UUBxy,,,,,0,1,1,9,,,,,,space,9,1,7.92104746518,4.94895205554,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'INCREASE', 'HALF', 'x', 'y')",SUBTRACT,4,"(3, 4, 1, 3)",3,3,3,6,increase,triple,half,UBUUxy,,,,,0,2,2,13,,,,,,space,3,1,14.0984457827,7.26858553314,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('INCREASE', 'TIMES', 'x', 'y')",TIMES,2,"(8, 9)",9,9,4,2,0,increase,0,UBxy,,,,,0,3,3,2,,,,,,space,9,1,3.15604467038,1.82814263483,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('THIRD', 'INCREASE', 'SUBTRACT', 'HALF', 'x', 'y')",increase,4,"(4, 2, 3, 1)",1,1,2,8,SUBTRACT,third,half,UUBUxy,,,,,0,4,4,15,,,,,,None,None,0,,,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('INCREASE', 'HALF', 'TIMES', 'TRIPLE', 'x', 'y')",half,4,"(6, 12, 6, 7)",7,7,2,2,TIMES,increase,triple,UUBUxy,,,,,0,5,5,14,,,,,,space,7,1,15.7874497236,4.08727463754,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DECREASE', 'HALF', 'TRIPLE', 'ADD', 'x', 'y')",half,4,"(4, 12, 6, 5)",5,5,2,2,triple,decrease,ADD,UUUBxy,,,,,0,6,6,16,,,,,,space,5,1,14.9523844852,3.886480293,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('SUBTRACT', 'DOUBLE', 'DECREASE', 'x', 'y')",double,3,"(8, 16, 7)",7,7,9,9,decrease,SUBTRACT,0,BUUxy,,,,,0,7,7,5,,,,,,space,7,1,3.55644768709,4.82068563905,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(2, 6)",6,6,6,8,0,triple,0,UBxy,,,,,0,8,8,3,,,,,,space,6,1,2.03415211663,1.36234322144,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DECREASE', 'DIVIDE', 'TRIPLE', 'DOUBLE', 'x', 'y')",DIVIDE,4,"(6, 18, 2, 1)",1,1,9,3,triple,decrease,double,UBUUxy,,,,,0,9,9,12,,,,,,space,8,0,4.7408368506,9.35388393351,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('TIMES', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(6, 2, 1, 2)",2,2,2,3,third,TIMES,double,BUUUxy,,,,,0,10,10,11,,,,,,None,None,0,,,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DIVIDE', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(12, 4, 3, 1)",1,1,3,6,third,DIVIDE,double,BUUUxy,,,,,0,11,11,10,,,,,,space,1,1,15.5433965449,12.767749998,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DECREASE', 'HALF', 'DIVIDE', 'x', 'y')",half,3,"(4, 2, 1)",1,1,2,8,DIVIDE,decrease,0,UUBxy,,,,,0,12,12,8,,,,,,space,1,1,5.82849434693,4.54941729526,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('TIMES', 'THIRD', 'x', 'y')",third,2,"(1, 4)",4,4,4,3,0,TIMES,0,BUxy,,,,,0,13,13,1,,,,,,space,4,1,1.81501415069,3.19040081534,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('INCREASE', 'DIVIDE', 'HALF', 'x', 'y')",DIVIDE,3,"(2, 1, 2)",2,2,2,4,half,increase,0,UBUxy,,,,,0,14,14,7,,,,,,None,None,0,,,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('INCREASE', 'TRIPLE', 'HALF', 'ADD', 'x', 'y')",triple,4,"(4, 2, 6, 7)",7,7,2,2,half,increase,ADD,UUUBxy,,,,,0,15,15,17,,,,,,None,None,0,,,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('ADD', 'DECREASE', 'HALF', 'x', 'y')",decrease,3,"(3, 2, 6)",6,6,4,6,half,ADD,0,BUUxy,,,,,0,16,16,4,,,,,,space,6,1,4.82431474747,2.75500752265,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('SUBTRACT', 'THIRD', 'x', 'y')",third,2,"(3, 1)",1,1,2,9,0,SUBTRACT,0,BUxy,,,,,0,17,17,0,,,,,,space,1,1,1.68589277659,1.60299371718,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('THIRD', 'DECREASE', 'TIMES', 'x', 'y')",decrease,3,"(25, 24, 8)",8,8,5,5,TIMES,third,0,UUBxy,,,,,0,0,0,8,,,,,,space,8,1,8.01486324705,2.43588184007,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('THIRD', 'INCREASE', 'HALF', 'DIVIDE', 'x', 'y')",increase,4,"(4, 2, 3, 1)",1,1,2,8,half,third,DIVIDE,UUUBxy,,,,,0,1,1,16,,,,,,space,9,0,12.7109119282,6.67477902514,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('TIMES', 'DECREASE', 'HALF', 'x', 'y')",decrease,3,"(4, 3, 9)",9,9,3,8,half,TIMES,0,BUUxy,,,,,0,2,2,4,,,,,,space,9,1,3.90345521225,3.4114264776,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'DOUBLE', 'DECREASE', 'x', 'y')",SUBTRACT,4,"(2, 4, 1, 3)",3,3,3,3,double,triple,decrease,UBUUxy,,,,,0,3,3,13,,,,,,space,3,1,12.6021342098,6.55147682317,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('THIRD', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(3, 1)",1,1,2,5,0,third,0,UBxy,,,,,0,4,4,3,,,,,,space,1,1,4.38562201057,1.47784896404,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('TRIPLE', 'HALF', 'ADD', 'DECREASE', 'x', 'y')",half,4,"(1, 4, 2, 6)",6,6,3,2,ADD,triple,decrease,UUBUxy,,,,,0,5,5,15,,,,,,space,6,1,7.23782700044,8.86506365286,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('TIMES', 'THIRD', 'HALF', 'x', 'y')",third,3,"(3, 1, 5)",5,5,5,6,half,TIMES,0,BUUxy,,,,,0,6,6,5,,,,,,space,5,1,4.85347885243,1.25263495347,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('THIRD', 'TIMES', 'DECREASE', 'x', 'y')",TIMES,3,"(3, 15, 5)",5,5,5,4,decrease,third,0,UBUxy,,,,,0,7,7,7,,,,,,space,5,1,5.07440232555,2.55649913149,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'DOUBLE', 'x', 'y')",DIVIDE,4,"(6, 18, 3, 4)",4,4,6,3,triple,increase,double,UBUUxy,,,,,0,8,8,12,,,,,,space,4,1,7.22974427207,4.53359165206,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('THIRD', 'DOUBLE', 'ADD', 'INCREASE', 'x', 'y')",double,4,"(10, 12, 24, 8)",8,8,2,9,ADD,third,increase,UUBUxy,,,,,0,9,9,14,,,,,,space,8,1,6.70945888478,6.92005987139,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('THIRD', 'ADD', 'INCREASE', 'x', 'y')",ADD,3,"(8, 15, 5)",5,5,7,7,increase,third,0,UBUxy,,,,,0,10,10,6,,,,,,space,5,1,3.07472184114,4.69327383046,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('THIRD', 'ADD', 'x', 'y')",ADD,2,"(9, 3)",3,3,5,4,0,third,0,UBxy,,,,,0,11,11,2,,,,,,space,3,1,1.89343054336,5.07603210001,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('TIMES', 'INCREASE', 'x', 'y')",increase,2,"(3, 6)",6,6,2,2,0,TIMES,0,BUxy,,,,,0,12,12,1,,,,,,space,6,1,4.66288485774,1.69895546767,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('TRIPLE', 'HALF', 'DIVIDE', 'x', 'y')",half,3,"(2, 1, 3)",3,3,2,4,DIVIDE,triple,0,UUBxy,,,,,0,13,13,9,,,,,,space,3,1,6.26193450042,2.90760891442,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('TIMES', 'INCREASE', 'THIRD', 'DOUBLE', 'x', 'y')",increase,4,"(6, 2, 3, 9)",9,9,3,3,third,TIMES,double,BUUUxy,,,,,0,14,14,11,,,,,,space,9,1,14.7695467044,3.81977748708,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('TIMES', 'DECREASE', 'x', 'y')",decrease,2,"(2, 4)",4,4,2,3,0,TIMES,0,BUxy,,,,,0,15,15,0,,,,,,space,4,1,3.2032041843,1.41120635136,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('SUBTRACT', 'HALF', 'INCREASE', 'TRIPLE', 'x', 'y')",half,4,"(15, 16, 8, 3)",3,3,5,5,increase,SUBTRACT,triple,BUUUxy,,,,,0,16,16,10,,,,,,space,3,1,7.86493066722,3.78065415635,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('TRIPLE', 'DECREASE', 'HALF', 'TIMES', 'x', 'y')",decrease,4,"(6, 3, 2, 6)",6,6,2,3,half,triple,TIMES,UUUBxy,,,,,0,17,17,17,,,,,,space,8,0,15.5561890651,7.36462882487,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('ADD', 'THIRD', 'INCREASE', 'HALF', 'x', 'y')",third,4,"(2, 3, 1, 7)",7,7,6,4,increase,ADD,half,BUUUxy,,,,,0,0,0,10,,,,,,space,7,1,12.7218003038,5.75980410515,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DECREASE', 'ADD', 'DOUBLE', 'THIRD', 'x', 'y')",ADD,4,"(3, 6, 10, 9)",9,9,4,9,double,decrease ,third,UBUUxy,,,,,0,1,1,12,,,,,,space,9,1,12.4372435433,10.1373528363,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DECREASE', 'TIMES', 'DOUBLE', 'THIRD', 'x', 'y')",TIMES,4,"(1, 2, 8, 7)",7,7,4,3,double,decrease,third,UBUUxy,,,,,0,2,2,13,,,,,,space,7,1,6.65376274171,3.54146370315,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('HALF', 'TIMES', 'x', 'y')",TIMES,2,"(16, 8)",8,8,4,4,0,half,0,UBxy,,,,,0,3,3,3,,,,,,space,8,1,2.89985200111,2.62797402311,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'x', 'y')",double,2,"(12, 2)",2,2,6,6,0,DIVIDE,0,BUxy,,,,,0,4,4,1,,,,,,space,2,1,2.14333474147,1.958590016,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'SUBTRACT', 'x', 'y')",triple,3,"(1, 3, 6)",6,6,3,4,SUBTRACT,double,0,UUBxy,,,,,0,5,5,9,,,,,,space,6,1,6.46817425732,1.41459433595,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DECREASE', 'HALF', 'TRIPLE', 'DIVIDE', 'x', 'y')",half,4,"(4, 12, 6, 5)",5,5,2,8,triple,decrease,DIVIDE,UUUBxy,,,,,0,6,6,16,,,,,,space,5,1,11.5734443041,9.5733582133,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'DIVIDE', 'DECREASE', 'x', 'y')",triple,4,"(8, 1, 3, 6)",6,6,8,9,DIVIDE,double,decrease,UUBUxy,,,,,0,7,7,15,,,,,,space,6,1,8.33655905211,2.11122990376,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('ADD', 'DOUBLE', 'x', 'y')",double,2,"(4, 8)",8,8,4,2,0,ADD,0,BUxy,,,,,0,8,8,0,,,,,,space,8,1,1.54437328922,1.76515677781,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('SUBTRACT', 'HALF', 'TRIPLE', 'x', 'y')",half,3,"(12, 6, 2)",2,2,4,4,triple,SUBTRACT,0,BUUxy,,,,,0,9,9,5,,,,,,space,2,1,4.24265437969,2.82324631303,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DIVIDE', 'INCREASE', 'DOUBLE', 'THIRD', 'x', 'y')",increase,4,"(2, 4, 5, 1)",1,1,5,6,double,DIVIDE,third,BUUUxy,,,,,0,10,10,11,,,,,,space,1,1,7.47242944851,9.15421436797,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DECREASE', 'THIRD', 'TIMES', 'HALF', 'x', 'y')",third,4,"(2, 12, 4, 3)",3,3,6,4,TIMES,decrease,half,UUBUxy,,,,,0,11,11,14,,,,,,space,3,1,11.1218533581,6.43797566439,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DOUBLE', 'DECREASE', 'SUBTRACT', 'x', 'y')",decrease,3,"(5, 4, 8)",8,8,2,7,SUBTRACT,double,0,UUBxy,,,,,0,12,12,8,,,,,,space,8,1,6.67813131353,2.38910378516,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'THIRD', 'x', 'y')",double,3,"(2, 4, 1)",1,1,4,6,third,DIVIDE,0,BUUxy,,,,,0,13,13,4,,,,,,space,1,1,12.6896993159,2.69272578973,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DOUBLE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(1, 2)",2,2,7,8,0,double,0,UBxy,,,,,0,14,14,2,,,,,,space,2,1,4.08407353284,3.21984453965,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DOUBLE', 'DECREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",decrease,4,"(1, 3, 2, 4)",4,4,4,4,triple,double,DIVIDE,UUUBxy,,,,,0,15,15,17,,,,,,None,None,0,,,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('HALF', 'SUBTRACT', 'TRIPLE', 'x', 'y')",SUBTRACT,3,"(9, 2, 1)",1,1,7,3,triple,half,0,UBUxy,,,,,0,16,16,6,,,,,,space,1,1,3.71104316413,4.65727006341,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('INCREASE', 'DIVIDE', 'THIRD', 'x', 'y')",DIVIDE,3,"(3, 1, 2)",2,2,3,9,third,increase,0,UBUxy,,,,,0,17,17,7,,,,,,space,2,1,5.713750822,2.10775407869,2017_May_26_0943,257.490651699,KRITL,004,31057,
