operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,execution.keys,execution.corr,encoding.rt,execution.rt,date,frameRate,expName,session,participant,
,,,,,,,,"('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')",decrease,3,"(9, 8, 4)",4,4,2,3,triple,DIVIDE,0,BUUxy,,,,,0,15,15,5,,,,,,space,4,1,7.94948977081,12.3491788632,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DECREASE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(2, 1)",1,1,4,8,0,decrease,0,UBxy,,,,,0,16,16,2,,,,,,space,3,0,2.31663435919,2.89996853832,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('INCREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",triple,3,"(2, 6, 7)",7,7,3,6,DIVIDE,increase,0,UUBxy,,,,,0,17,17,8,,,,,,space,7,1,11.3825573301,5.16634044237,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'DOUBLE', 'DECREASE', 'x', 'y')",SUBTRACT,4,"(2, 4, 1, 3)",3,3,3,3,double,triple,decrease,UBUUxy,,,,,0,0,0,13,,,,,,space,None,0,12.1491306382,,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('TRIPLE', 'HALF', 'ADD', 'DECREASE', 'x', 'y')",half,4,"(1, 4, 2, 6)",6,6,3,2,ADD,triple,decrease,UUBUxy,,,,,0,1,1,15,,,,,,space,6,1,7.36621123587,6.1164391496,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('TIMES', 'INCREASE', 'THIRD', 'DOUBLE', 'x', 'y')",increase,4,"(6, 2, 3, 9)",9,9,3,3,third,TIMES,double,BUUUxy,,,,,0,2,2,11,,,,,,space,3,0,9.26592780044,16.665414264,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('THIRD', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(3, 1)",1,1,2,5,0,third,0,UBxy,,,,,0,3,3,3,,,,,,space,1,1,2.21664699283,4.68315601267,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'DOUBLE', 'x', 'y')",DIVIDE,4,"(6, 18, 3, 4)",4,4,6,3,triple,increase,double,UBUUxy,,,,,0,4,4,12,,,,,,space,3,0,10.1493115694,10.0493529,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('SUBTRACT', 'HALF', 'INCREASE', 'TRIPLE', 'x', 'y')",half,4,"(15, 16, 8, 3)",3,3,5,5,increase,SUBTRACT,triple,BUUUxy,,,,,0,5,5,10,,,,,,space,3,1,10.4326276552,11.1325966136,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('THIRD', 'ADD', 'x', 'y')",ADD,2,"(9, 3)",3,3,5,4,0,third,0,UBxy,,,,,0,6,6,2,,,,,,space,3,1,2.04996953567,2.51668853359,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
