operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,0,0,3,,,,,['space'],[4.797531786258332],8,1,14.6397988977,,,,,,2017_May_19_0918,None,KRITL,001,31056,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,1,1,0,,,,,['space'],[3.3287422951543704],7,1,1.83091643569,,,,,,2017_May_19_0918,None,KRITL,001,31056,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,2,2,5,,,,,['space'],[8.0780818288913],9,1,7.48748727445,,,,,,2017_May_19_0918,None,KRITL,001,31056,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,3,3,4,,,,,['space'],[4.060649159015156],3,1,3.09322959511,,,,,,2017_May_19_0918,None,KRITL,001,31056,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,4,4,1,,,,,['space'],[1.9954056955175474],8,1,1.42889449373,,,,,,2017_May_19_0918,None,KRITL,001,31056,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,5,5,2,,,,,['space'],[1.9356657384196296],7,1,3.69857085915,,,,,,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DECREASE', 'THIRD', 'TIMES', 'HALF', 'x', 'y')",third,4,"(2, 12, 4, 3)",3,3,6,4,TIMES,decrease,half,UUBUxy,,,,,0,0,0,14,,,,,,space,6.38620049821,3,1,15.6797050937,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('ADD', 'DOUBLE', 'x', 'y')",double,2,"(4, 8)",8,8,4,2,0,ADD,0,BUxy,,,,,0,1,1,0,,,,,,space,6.54977040726,8,1,2.06847466505,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DOUBLE', 'DECREASE', 'SUBTRACT', 'x', 'y')",decrease,3,"(5, 4, 8)",8,8,2,7,SUBTRACT,double,0,UUBxy,,,,,0,2,2,8,,,,,,space,6.09035465529,8,1,10.2412527809,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('ADD', 'THIRD', 'INCREASE', 'HALF', 'x', 'y')",third,4,"(2, 3, 1, 7)",7,7,6,4,increase,ADD,half,BUUUxy,,,,,0,3,3,10,,,,,,space,7.56346688012,7,1,15.4257378342,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DIVIDE', 'INCREASE', 'DOUBLE', 'THIRD', 'x', 'y')",increase,4,"(2, 4, 5, 1)",1,1,5,6,double,DIVIDE,third,BUUUxy,,,,,0,4,4,11,,,,,,space,10.5974853112,None,0,,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('INCREASE', 'DIVIDE', 'THIRD', 'x', 'y')",DIVIDE,3,"(3, 1, 2)",2,2,3,9,third,increase,0,UBUxy,,,,,0,5,5,7,,,,,,space,8.90373028268,2,1,4.45574464789,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DECREASE', 'ADD', 'DOUBLE', 'THIRD', 'x', 'y')",ADD,4,"(3, 6, 10, 9)",9,9,4,9,double,decrease ,third,UBUUxy,,,,,0,6,6,12,,,,,,space,16.0503861659,9,1,6.72447576525,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DECREASE', 'HALF', 'TRIPLE', 'DIVIDE', 'x', 'y')",half,4,"(4, 12, 6, 5)",5,5,2,8,triple,decrease,DIVIDE,UUUBxy,,,,,0,7,7,16,,,,,,space,7.66805764998,5,1,4.32485981379,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DOUBLE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(1, 2)",2,2,7,8,0,double,0,UBxy,,,,,0,8,8,2,,,,,,space,2.85542499239,2,1,2.37469373923,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'THIRD', 'x', 'y')",double,3,"(2, 4, 1)",1,1,4,6,third,DIVIDE,0,BUUxy,,,,,0,9,9,4,,,,,,space,2.33841035247,1,1,2.80725268775,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'x', 'y')",double,2,"(12, 2)",2,2,6,6,0,DIVIDE,0,BUxy,,,,,0,10,10,1,,,,,,space,1.76296951377,2,1,1.57495929068,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DOUBLE', 'DECREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",decrease,4,"(1, 3, 2, 4)",4,4,4,4,triple,double,DIVIDE,UUUBxy,,,,,0,11,11,17,,,,,,space,4.08659431082,2,0,14.9328845885,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'SUBTRACT', 'x', 'y')",triple,3,"(1, 3, 6)",6,6,3,4,SUBTRACT,double,0,UUBxy,,,,,0,12,12,9,,,,,,space,6.21287539136,6,1,1.65672062268,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DECREASE', 'TIMES', 'DOUBLE', 'THIRD', 'x', 'y')",TIMES,4,"(1, 2, 8, 7)",7,7,4,3,double,decrease,third,UBUUxy,,,,,0,13,13,13,,,,,,space,7.10776702734,7,1,4.27532755595,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'DIVIDE', 'DECREASE', 'x', 'y')",triple,4,"(8, 1, 3, 6)",6,6,8,9,DIVIDE,double,decrease,UUBUxy,,,,,0,14,14,15,,,,,,space,13.0750987506,6,1,3.89875451929,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('HALF', 'SUBTRACT', 'TRIPLE', 'x', 'y')",SUBTRACT,3,"(9, 2, 1)",1,1,7,3,triple,half,0,UBUxy,,,,,0,15,15,6,,,,,,space,5.64969898004,1,1,2.9670783506,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('SUBTRACT', 'HALF', 'TRIPLE', 'x', 'y')",half,3,"(12, 6, 2)",2,2,4,4,triple,SUBTRACT,0,BUUxy,,,,,0,16,16,5,,,,,,space,8.08572290477,2,1,4.26175251999,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('HALF', 'TIMES', 'x', 'y')",TIMES,2,"(16, 8)",8,8,4,4,0,half,0,UBxy,,,,,0,17,17,3,,,,,,space,2.73811169469,8,1,1.90857131057,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DECREASE', 'TRIPLE', 'SUBTRACT', 'DOUBLE', 'x', 'y')",triple,4,"(6, 3, 9, 8)",8,8,3,3,SUBTRACT,decrease,double,UUBUxy,,,,,0,0,0,15,,,,,,space,4.91712613788,8,1,5.19066153711,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('ADD', 'DOUBLE', 'DECREASE', 'x', 'y')",double,3,"(1, 2, 7)",7,7,5,2,decrease,ADD,0,BUUxy,,,,,0,1,1,4,,,,,,space,6.69319928845,7,1,3.00090990192,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DOUBLE', 'SUBTRACT', 'INCREASE', 'x', 'y')",SUBTRACT,3,"(4, 1, 2)",2,2,3,3,increase,double,0,UBUxy,,,,,0,2,2,6,,,,,,space,4.25680230383,2,1,2.9978890277,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DECREASE', 'DOUBLE', 'TIMES', 'THIRD', 'x', 'y')",double,4,"(1, 3, 6, 5)",5,5,3,3,TIMES,decrease,third,UUBUxy,,,,,0,3,3,14,,,,,,space,10.5813649998,5,1,3.97386656853,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('ADD', 'TRIPLE', 'HALF', 'x', 'y')",triple,3,"(2, 6, 8)",8,8,2,4,half,ADD,0,BUUxy,,,,,0,4,4,5,,,,,,space,3.71672795084,8,1,4.64732413611,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('THIRD', 'HALF', 'INCREASE', 'SUBTRACT', 'x', 'y')",half,4,"(5, 6, 3, 1)",1,1,2,7,increase,third,SUBTRACT,UUUBxy,,,,,0,5,5,17,,,,,,space,9.02980173589,1,1,3.26672443375,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DOUBLE', 'THIRD', 'ADD', 'x', 'y')",third,3,"(9, 3, 6)",6,6,4,5,ADD,double,0,UUBxy,,,,,0,6,6,8,,,,,,space,5.28215216985,6,1,2.50037358468,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DECREASE', 'ADD', 'THIRD', 'HALF', 'x', 'y')",ADD,4,"(3, 1, 7, 6)",6,6,6,6,third,decrease,half,UBUUxy,,,,,0,7,7,12,,,,,,space,7.31659510522,6,1,5.47868502385,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DECREASE', 'SUBTRACT', 'DOUBLE', 'THIRD', 'x', 'y')",SUBTRACT,4,"(3, 6, 4, 3)",3,3,2,9,double,decrease,third,UBUUxy,,,,,0,8,8,13,,,,,,space,7.47710074473,3,1,10.3242186831,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('INCREASE', 'ADD', 'HALF', 'x', 'y')",ADD,3,"(1, 4, 5)",5,5,3,2,half,increase,0,UBUxy,,,,,0,9,9,7,,,,,,space,7.08113419963,5,1,9.60265250399,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(18, 6, 5, 9)",9,9,4,9,third,ADD,double,BUUUxy,,,,,0,10,10,10,,,,,,space,7.04274928954,9,1,3.6701955694,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DECREASE', 'TIMES', 'x', 'y')",TIMES,2,"(9, 8)",8,8,3,3,0,decrease,0,UBxy,,,,,0,11,11,2,,,,,,space,5.53812926274,8,1,1.60404535371,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('HALF', 'ADD', 'x', 'y')",ADD,2,"(12, 6)",6,6,8,4,0,half,0,UBxy,,,,,0,12,12,3,,,,,,space,1.71546878677,6,1,5.30138119601,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DIVIDE', 'DECREASE', 'x', 'y')",decrease,2,"(8, 2)",2,2,4,9,0,DIVIDE,0,BUxy,,,,,0,13,13,1,,,,,,space,4.55153386714,2,1,1.79435832845,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('INCREASE', 'HALF', 'THIRD', 'TIMES', 'x', 'y')",half,4,"(12, 4, 2, 3)",3,3,4,3,third,increase,TIMES,UUUBxy,,,,,0,14,14,16,,,,,,space,8.18190303177,3,1,3.62032874755,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('ADD', 'TRIPLE', 'DOUBLE', 'DECREASE', 'x', 'y')",triple,4,"(1, 2, 6, 8)",8,8,2,2,double,ADD,decrease,BUUUxy,,,,,0,15,15,11,,,,,,space,7.68836350995,8,1,6.28962946346,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('ADD', 'DECREASE', 'x', 'y')",decrease,2,"(2, 7)",7,7,5,3,0,ADD,0,BUxy,,,,,0,16,16,0,,,,,,space,2.20834303019,7,1,1.95654343674,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('HALF', 'INCREASE', 'TIMES', 'x', 'y')",increase,3,"(9, 10, 5)",5,5,3,3,TIMES,half,0,UUBxy,,,,,0,17,17,9,,,,,,space,6.22566931159,5,1,2.31058590335,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('THIRD', 'INCREASE', 'HALF', 'TIMES', 'x', 'y')",increase,4,"(28, 14, 15, 5)",5,5,4,7,half,third,TIMES,UUUBxy,,,,,0,0,0,17,,,,,,space,10.5427018696,5,1,5.61752030044,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('TRIPLE', 'INCREASE', 'SUBTRACT', 'x', 'y')",increase,3,"(1, 2, 6)",6,6,2,3,SUBTRACT,triple,0,UUBxy,,,,,0,1,1,9,,,,,,space,5.11100312835,6,1,4.41920438875,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('TRIPLE', 'INCREASE', 'DIVIDE', 'DOUBLE', 'x', 'y')",increase,4,"(16, 2, 3, 9)",9,9,8,8,DIVIDE,triple,double,UUBUxy,,,,,0,2,2,15,,,,,,space,6.1948288877,9,1,5.70211352699,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('HALF', 'TIMES', 'DECREASE', 'x', 'y')",TIMES,3,"(8, 16, 8)",8,8,2,9,decrease,half,0,UBUxy,,,,,0,3,3,6,,,,,,space,4.83587295108,8,1,4.34129159164,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('TRIPLE', 'DOUBLE', 'SUBTRACT', 'INCREASE', 'x', 'y')",double,4,"(5, 1, 2, 6)",6,6,4,4,SUBTRACT,triple,increase,UUBUxy,,,,,0,4,4,14,,,,,,space,8.21173521434,6,1,12.660871875,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'INCREASE', 'TRIPLE', 'x', 'y')",double,4,"(9, 10, 20, 5)",5,5,4,3,increase,DIVIDE,triple,BUUUxy,,,,,0,5,5,10,,,,,,space,8.80569255608,5,1,10.1012489803,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('ADD', 'HALF', 'x', 'y')",half,2,"(2, 7)",7,7,5,4,0,ADD,0,BUxy,,,,,0,6,6,0,,,,,,space,1.98596581363,7,1,1.92657231924,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DECREASE', 'THIRD', 'DOUBLE', 'ADD', 'x', 'y')",third,4,"(9, 18, 6, 5)",5,5,4,5,double,decrease,ADD,UUUBxy,,,,,0,7,7,16,,,,,,space,8.34066725906,5,1,2.81720281474,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('HALF', 'SUBTRACT', 'DECREASE', 'TRIPLE', 'x', 'y')",SUBTRACT,4,"(15, 14, 10, 5)",5,5,4,5,decrease,half,triple,UBUUxy,,,,,0,8,8,12,,,,,,space,10.7873671324,5,1,5.54553726374,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('TRIPLE', 'HALF', 'ADD', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,3,ADD,triple,0,UUBxy,,,,,0,9,9,8,,,,,,space,5.42534867616,9,1,4.64503118338,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('TIMES', 'HALF', 'INCREASE', 'THIRD', 'x', 'y')",half,4,"(1, 2, 1, 9)",9,9,9,3,increase,TIMES,third,BUUUxy,,,,,0,10,10,11,,,,,,space,7.46303681156,None,0,,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'x', 'y')",triple,2,"(12, 9)",9,9,3,4,0,SUBTRACT,0,BUxy,,,,,0,11,11,1,,,,,,space,3.70351652568,9,1,2.91643881204,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('INCREASE', 'TIMES', 'TRIPLE', 'HALF', 'x', 'y')",TIMES,4,"(1, 3, 6, 7)",7,7,2,2,triple,increase,half,UBUUxy,,,,,0,12,12,13,,,,,,space,13.0488351331,7,1,7.68316062109,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DOUBLE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(1, 2)",2,2,8,8,0,double,0,UBxy,,,,,0,13,13,2,,,,,,space,1.74615662708,2,1,3.78109790862,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'x', 'y')",DIVIDE,3,"(6, 2, 3)",3,3,3,2,triple,increase,0,UBUxy,,,,,0,14,14,7,,,,,,space,7.79453540931,3,1,5.97325658426,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('INCREASE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(4, 5)",5,5,2,8,0,increase,0,UBxy,,,,,0,15,15,3,,,,,,space,3.9917209429,5,1,1.65097949177,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('SUBTRACT', 'INCREASE', 'HALF', 'x', 'y')",increase,3,"(4, 5, 3)",3,3,2,8,half,SUBTRACT,0,BUUxy,,,,,0,16,16,5,,,,,,space,4.84996628109,3,1,2.24402798153,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('DIVIDE', 'TRIPLE', 'DECREASE', 'x', 'y')",triple,3,"(6, 18, 9)",9,9,2,7,decrease,DIVIDE,0,BUUxy,,,,,0,17,17,4,,,,,,space,3.37913616025,9,1,4.38959163253,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('THIRD', 'INCREASE', 'HALF', 'DIVIDE', 'x', 'y')",increase,4,"(4, 2, 3, 1)",1,1,2,8,half,third,DIVIDE,UUUBxy,,,,,0,0,0,16,,,,,,space,4.91481778689,9,0,3.84606735164,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('THIRD', 'TIMES', 'DECREASE', 'x', 'y')",TIMES,3,"(3, 15, 5)",5,5,5,4,decrease,third,0,UBUxy,,,,,0,1,1,7,,,,,,space,5.07372829842,5,1,5.60716001771,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('TIMES', 'DECREASE', 'HALF', 'x', 'y')",decrease,3,"(4, 3, 9)",9,9,3,8,half,TIMES,0,BUUxy,,,,,0,2,2,4,,,,,,space,3.89231871348,9,1,3.02568058041,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('THIRD', 'DOUBLE', 'ADD', 'INCREASE', 'x', 'y')",double,4,"(10, 12, 24, 8)",8,8,2,9,ADD,third,increase,UUBUxy,,,,,0,3,3,14,,,,,,space,10.211302311,8,1,8.55098022672,2017_May_19_0918,None,KRITL,001,31056,
,,,,,,,,"('TIMES', 'DECREASE', 'x', 'y')",decrease,2,"(2, 4)",4,4,2,3,0,TIMES,0,BUxy,,,,,0,4,4,0,,,,,,space,3.02742794179,4,1,2.22999309516,2017_May_19_0918,None,KRITL,001,31056,
