operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,0,0,0,,,,,['space'],[5.330257281748345],7,1,4.42015733603,,,,,,2017_Apr_14_1254,None,KRITL,001,31037,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,1,1,4,,,,,['space'],[13.053811596415471],3,1,7.47646591315,,,,,,2017_Apr_14_1254,None,KRITL,001,31037,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,2,2,3,,,,,['space'],[2.23260941306944],8,1,15.2506170709,,,,,,2017_Apr_14_1254,None,KRITL,001,31037,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,3,3,5,,,,,['space'],[10.812351287910133],9,1,10.1202155348,,,,,,2017_Apr_14_1254,None,KRITL,001,31037,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,4,4,2,,,,,['space'],[1.7729224403155968],7,1,2.00964705956,,,,,,2017_Apr_14_1254,None,KRITL,001,31037,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,5,5,1,,,,,['space'],[1.734242511956836],8,1,1.36585579245,,,,,,2017_Apr_14_1254,None,KRITL,001,31037,
,,,,,,,,"('INCREASE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(3, 4)",4,4,3,6,0,increase,0,UBxy,,,,,0,0,0,2,,,,,,space,8.13948935606,4,1,3.15780813039,2017_Apr_14_1254,None,KRITL,001,31037,
,,,,,,,,"('HALF', 'TRIPLE', 'INCREASE', 'SUBTRACT', 'x', 'y')",triple,4,"(1, 2, 6, 3)",3,3,2,3,increase,half,SUBTRACT,UUUBxy,,,,,0,1,1,17,,,,,,space,5.87745161685,3,1,8.84260307526,2017_Apr_14_1254,None,KRITL,001,31037,
,,,,,,,,"('DECREASE', 'TRIPLE', 'DIVIDE', 'DOUBLE', 'x', 'y')",triple,4,"(6, 2, 6, 5)",5,5,3,3,DIVIDE,decrease,double,UUBUxy,,,,,0,2,2,14,,,,,,space,11.6487372837,None,0,,2017_Apr_14_1254,None,KRITL,001,31037,
,,,,,,,,"('TIMES', 'HALF', 'INCREASE', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,5,increase,TIMES,0,BUUxy,,,,,0,3,3,5,,,,,,space,4.07544906282,9,1,5.01182312488,2017_Apr_14_1254,None,KRITL,001,31037,
,,,,,,,,"('DOUBLE', 'DECREASE', 'ADD', 'x', 'y')",decrease,3,"(4, 3, 6)",6,6,2,2,ADD,double,0,UUBxy,,,,,0,4,4,8,,,,,,space,3.87406538204,6,1,7.62043478612,2017_Apr_14_1254,None,KRITL,001,31037,
,,,,,,,,"('INCREASE', 'ADD', 'HALF', 'TRIPLE', 'x', 'y')",ADD,4,"(6, 3, 6, 7)",7,7,3,2,half,increase,triple,UBUUxy,,,,,0,5,5,13,,,,,,space,4.42250313304,7,1,12.9343015856,2017_Apr_14_1254,None,KRITL,001,31037,
,,,,,,,,"('THIRD', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(3, 1)",1,1,2,6,0,third,0,UBxy,,,,,0,6,6,3,,,,,,space,1.36420607037,1,1,1.70174571672,2017_Apr_14_1254,None,KRITL,001,31037,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'DECREASE', 'x', 'y')",triple,3,"(4, 12, 3)",3,3,9,5,decrease,SUBTRACT,0,BUUxy,,,,,0,7,7,4,,,,,,space,4.18102812611,3,1,5.82883870974,2017_Apr_14_1254,None,KRITL,001,31037,
