operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,0,0,0,,,,,['space'],[3.4875932696158998],3,0,17.6631031052,,,,,,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,1,1,3,,,,,['space'],[4.954550942638889],9,0,6.76045734627,,,,,,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,2,2,4,,,,,None,,3,1,5.92391443951,,,,,,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,3,3,2,,,,,['space'],[3.343638241349254],7,1,1.34563513298,,,,,,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,4,4,1,,,,,['space'],[3.356842013541609],8,1,1.70568666159,,,,,,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,5,5,5,,,,,['space'],[3.711401215288788],6,0,4.56026703614,,,,,,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
,,,,,,,,"('INCREASE', 'ADD', 'x', 'y')",ADD,2,"(5, 6)",6,6,2,3,0,increase,0,UBxy,,,,,0,0,0,3,,,,,,space,2.57743694447,6,1,1.25891733199,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
,,,,,,,,"('THIRD', 'HALF', 'ADD', 'x', 'y')",half,3,"(6, 3, 1)",1,1,3,3,ADD,third,0,UUBxy,,,,,0,1,1,9,,,,,,space,2.34343176289,1,1,2.85606281983,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
,,,,,,,,"('INCREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",triple,3,"(2, 6, 7)",7,7,3,6,DIVIDE,increase,0,UUBxy,,,,,0,2,2,8,,,,,,space,3.17335336056,7,1,2.16369926796,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
,,,,,,,,"('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')",decrease,3,"(9, 8, 4)",4,4,2,3,triple,DIVIDE,0,BUUxy,,,,,0,3,3,5,,,,,,space,2.38012753369,4,1,2.49875605479,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
,,,,,,,,"('SUBTRACT', 'DECREASE', 'TRIPLE', 'DOUBLE', 'x', 'y')",decrease,4,"(6, 18, 17, 8)",8,8,9,3,triple,SUBTRACT,double,BUUUxy,,,,,0,4,4,11,,,,,,space,3.52513805189,8,1,7.3886666426,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
,,,,,,,,"('ADD', 'HALF', 'THIRD', 'x', 'y')",half,3,"(2, 1, 9)",9,9,8,6,third,ADD,0,BUUxy,,,,,0,5,5,4,,,,,,space,3.0505231779,9,1,2.64167764096,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
,,,,,,,,"('ADD', 'DOUBLE', 'DECREASE', 'THIRD', 'x', 'y')",double,4,"(2, 1, 2, 8)",8,8,6,6,decrease,ADD,third,BUUUxy,,,,,0,6,6,10,,,,,,space,3.22325430339,8,1,4.16532099876,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
,,,,,,,,"('THIRD', 'TIMES', 'DOUBLE', 'DECREASE', 'x', 'y')",TIMES,4,"(1, 2, 6, 2)",2,2,3,2,double,third,decrease,UBUUxy,,,,,0,7,7,13,,,,,,space,4.28280933882,2,1,4.71225967573,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
,,,,,,,,"('DIVIDE', 'INCREASE', 'x', 'y')",increase,2,"(4, 2)",2,2,2,3,0,DIVIDE,0,BUxy,,,,,0,8,8,0,,,,,,space,1.65991003835,2,1,1.76237164653,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
,,,,,,,,"('SUBTRACT', 'DECREASE', 'x', 'y')",decrease,2,"(5, 3)",3,3,2,6,0,SUBTRACT,0,BUxy,,,,,0,9,9,1,,,,,,space,1.63397529465,3,1,1.97619688383,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
,,,,,,,,"('THIRD', 'INCREASE', 'DIVIDE', 'DOUBLE', 'x', 'y')",increse,4,"(18, 2, 3, 1)",1,1,9,9,DIVIDE,third,double,UUBUxy,,,,,0,10,10,15,,,,,,space,4.46681453788,3,0,5.36911698268,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
,,,,,,,,"('INCREASE', 'SUBTRACT', 'HALF', 'x', 'y')",SUBTRACT,3,"(4, 2, 3)",3,3,2,8,half,increase,0,UBUxy,,,,,0,11,11,7,,,,,,space,4.9383000384,3,1,5.11822886282,2015_Jul_14_1533,283.057880698,KRITL,001,31021,
