Length	Participant	Chunks	encoding.rt	LogEncoding	EncodingSpeed
57	Length = 4	31020	Chunks = 2	7.0885091765575	1.95837702446456	0.141101041647067
58	Length = 2	31021	Chunks = 2	1.369585408775	0.311044982609186	0.735222655854039
59	Length = 3	31021	Chunks = 2	2.2173117485225	0.794762010562721	0.452381900700284
60	Length = 4	31021	Chunks = 2	3.0264113064775	1.10524146064468	0.331839699005874
61	Length = 2	31022	Chunks = 2	3.31012108995	1.18203561976719	0.311272523940356
62	Length = 3	31022	Chunks = 2	5.2639843544925	1.65815875456478	0.191010216521143
63	Length = 4	31022	Chunks = 2	9.8696119557575	2.28831031236982	0.101556909675779
64	Length = 2	31023	Chunks = 2	2.3553509941225	0.830996883017061	0.446255645984762
65	Length = 3	31023	Chunks = 2	3.67114089145	1.29528675927868	0.275251229870239
66	Length = 4	31023	Chunks = 2	6.6919977525325	1.89045562255456	0.152563662549306
67	Length = 2	31024	Chunks = 2	1.81634056486	0.592419389912017	0.555406291535075
68	Length = 3	31024	Chunks = 2	1.9025905521775	0.636399865822658	0.532799013474805
69	Length = 4	31024	Chunks = 2	4.47772622427	1.39076050692111	0.277369247925397
70	Length = 2	31025	Chunks = 2	0.930944324844	-0.0758446029746959	1.08343788324565
71	Length = 3	31025	Chunks = 2	2.0352451937	0.703667662971307	0.498021032351414
72	Length = 4	31025	Chunks = 2	6.6382553262625	1.88233887855514	0.153701764546132
73	Length = 2	31026	Chunks = 2	1.2234799423675	0.186637853302325	0.84223059158545
74	Length = 3	31026	Chunks = 2	2.4962222317075	0.906609627791759	0.40712528905221
75	Length = 4	31026	Chunks = 2	4.8369623379875	1.55966814312712	0.213747130164644
76	Length = 2	31027	Chunks = 2	1.5296414694125	0.42442855814805	0.654536659020366
77	Length = 3	31027	Chunks = 2	1.98002478441	0.679941320867501	0.508254343901999
78	Length = 4	31027	Chunks = 2	4.51303841444	1.49810921846696	0.225516346077522
79	Length = 2	31028	Chunks = 2	1.027408702399	0.0266791780074131	0.97402219354753
80	Length = 3	31028	Chunks = 2	1.534352502815	0.396892599659559	0.69377043179672
81	Length = 4	31028	Chunks = 2	3.20386370183	1.12119620811381	0.340546970604457
82	Length = 3	31002	Chunks = 3	2.260398655475	0.814335370891369	0.443468037843274
83	Length = 4	31002	Chunks = 3	3.91821133031	1.36336035698369	0.256382333712498
84	Length = 3	31003	Chunks = 3	1.427951170465	0.356182437519809	0.700385622694504
85	Length = 4	31003	Chunks = 3	3.8207317465825	1.33210951134115	0.26613417362652
86	Length = 3	31004	Chunks = 3	0.975025262176	-0.0282595607141994	1.03171990778073
87	Length = 4	31004	Chunks = 3	1.583322240665	0.456803666745265	0.635030652225998
88	Length = 3	31005	Chunks = 3	5.906548376675	1.7759030834104	0.169357309758213
89	Length = 4	31005	Chunks = 3	8.54407466331	2.14390009094616	0.117350039633248
90	Length = 3	31006	Chunks = 3	2.12494708887	0.753370269337469	0.47095457377062
91	Length = 4	31006	Chunks = 3	3.11650526135	1.1363546085693	0.32110183870009
92	Length = 3	31007	Chunks = 3	3.629623045155	1.28912673128065	0.275511843008437
93	Length = 4	31007	Chunks = 3	5.30630980199	1.66835888596964	0.188657881142154
94	Length = 3	31008	Chunks = 3	2.84987131946	1.04684627373835	0.351193226098313
95	Length = 4	31008	Chunks = 3	3.6206407131575	1.28581469969893	0.276651448061309
96	Length = 3	31009	Chunks = 3	2.17053527964	0.772469241339771	0.46302942550879
97	Length = 4	31009	Chunks = 3	5.5623727664	1.71352938779923	0.180683412429252
98	Length = 3	31010	Chunks = 3	3.405451494385	1.22392327227126	0.294502137968525
99	Length = 4	31010	Chunks = 3	5.709491995035	1.73807758558644	0.176576857720581
100	Length = 3	31011	Chunks = 3	3.237606349155	1.1730396847057	0.309980745796597
101	Length = 4	31011	Chunks = 3	6.898668866055	1.92919741438087	0.145565425395337
102	Length = 3	31012	Chunks = 3	4.58939156636	1.51366692562454	0.222331361117139
103	Length = 4	31012	Chunks = 3	7.05286885007	1.77799026744784	0.204439684900645
104	Length = 3	31013	Chunks = 3	2.53061340549	0.928453986007373	0.395167226320034
105	Length = 4	31013	Chunks = 3	4.2743711943625	1.45168919753259	0.234392858230119
106	Length = 3	31014	Chunks = 3	4.75037892295	1.55813481825759	0.210547236754982
107	Length = 4	31014	Chunks = 3	7.4047487769725	1.99900422003271	0.135893289211252
108	Length = 3	31015	Chunks = 3	3.440840980315	1.23567338575435	0.290651344507872
109	Length = 4	31015	Chunks = 3	4.68511446041	1.54123299305788	0.214787546158213
110	Length = 3	31016	Chunks = 3	4.002669521435	1.38695415595483	0.249836945219262
111	Length = 4	31016	Chunks = 3	7.0567172690575	1.9493080392327	0.143018549536973
112	Length = 3	31017	Chunks = 3	1.3003086875	0.262601688203322	0.769048157266887
113	Length = 4	31017	Chunks = 3	4.01264674292	1.37685702645962	0.255568962534012
114	Length = 3	31018	Chunks = 3	2.54025804907	0.93126244891015	0.394451444325852
115	Length = 4	31018	Chunks = 3	4.0570863930375	1.40019603009899	0.246615169163499
116	Length = 3	31019	Chunks = 3	2.09768880619	0.740836170178212	0.476715133841175
117	Length = 4	31019	Chunks = 3	5.46815542299	1.67883684014627	0.190387292907946
118	Length = 3	31020	Chunks = 3	5.083996484975	1.62575993387606	0.196828555497965
119	Length = 4	31020	Chunks = 3	7.35857363284	1.9955820967318	0.135973117341637
120	Length = 3	31021	Chunks = 3	2.463959360815	0.90174116832173	0.405873889639214
121	Length = 4	31021	Chunks = 3	2.833461478295	1.04094096268816	0.353320597481497
122	Length = 3	31022	Chunks = 3	6.557283242075	1.88055786624835	0.152507827673117
123	Length = 4	31022	Chunks = 3	8.914744113775	2.18396265964444	0.113012375572829
124	Length = 3	31023	Chunks = 3	4.1078408968	1.41289756122865	0.243436886949297
125	Length = 4	31023	Chunks = 3	7.1467434498225	1.96450403429003	0.140516323419646
126	Length = 3	31024	Chunks = 3	2.823797761695	1.02024126515218	0.366997652513709
127	Length = 4	31024	Chunks = 3	4.7145675973675	1.54422208205881	0.21498117047743
128	Length = 3	31025	Chunks = 3	1.4130065293	0.34571972456928	0.707710813265242
129	Length = 4	31025	Chunks = 3	4.422681234325	1.47765452727236	0.23025614213337
130	Length = 3	31026	Chunks = 3	2.375826832475	0.861521428961882	0.424137602995201
131	Length = 4	31026	Chunks = 3	4.8179862681275	1.5661659215633	0.210141567590328
132	Length = 3	31027	Chunks = 3	2.33199180666	0.846722755042966	0.428817973178153
133	Length = 4	31027	Chunks = 3	4.5900370296275	1.52350781101612	0.218028678185527
134	Length = 3	31028	Chunks = 3	1.58403795563	0.459977254992779	0.631298004221295
135	Length = 4	31028	Chunks = 3	2.761751773705	1.0024095236394	0.372133987200686
