Length	Participant	Chunks	execution.rt
121	Length = 4	31021	Chunks = 3	3.78260049813
122	Length = 3	31022	Chunks = 3	5.19059442446
123	Length = 4	31022	Chunks = 3	6.982404539055
124	Length = 3	31023	Chunks = 3	7.17857289092
125	Length = 4	31023	Chunks = 3	8.383423664735
126	Length = 3	31024	Chunks = 3	7.59210041432
127	Length = 4	31024	Chunks = 3	8.7586724450175
128	Length = 3	31025	Chunks = 3	3.34998937504
129	Length = 4	31025	Chunks = 3	5.4028564384375
130	Length = 3	31026	Chunks = 3	3.97511777145
131	Length = 4	31026	Chunks = 3	4.896729276295
132	Length = 3	31027	Chunks = 3	3.57872585996
133	Length = 4	31027	Chunks = 3	6.053776613415
134	Length = 3	31028	Chunks = 3	3.49321438308
135	Length = 4	31028	Chunks = 3	5.912795399805
