"Subject"	"Chunks"	"encoding.rt"	"execution.rt"	"LogEncoding"	"EncodingSpeed"
"31002"	"C2"	3.97177020181	8.16717749582	1.37921188998008	0.251776902788657
"31003"	"C2"	2.74281308761	4.9952202155	1.00898406804058	0.364589189295202
"31004"	"C2"	1.933284924855	3.541496013655	0.659071923815731	0.517408149787544
"31005"	"C2"	7.381415574285	7.65030196599	1.99815803600257	0.135694310569557
"31006"	"C2"	2.75820580197	7.182842558715	1.01457583658058	0.362557833555345
"31007"	"C2"	5.021081726335	4.63318601089	1.6132827344191	0.199304778623422
"31008"	"C2"	3.49981076892	4.41643223798	1.25260686130624	0.285788051490445
"31009"	"C2"	3.204398271045	6.68410966316	1.16319475527141	0.312902016198488
"31010"	"C2"	4.80339025854	4.82078023578	1.56932197246116	0.208186290552197
"31011"	"C2"	6.30070069443	5.38022926727	1.84066026124985	0.158712692936979
"31013"	"C2"	3.67099653151	6.85999308472	1.29765967898345	0.273937254145388
"31014"	"C2"	6.537229815075	5.273006511765	1.87697188773015	0.153135783791611
"31015"	"C2"	4.48593274216	4.21555155277	1.50094644315459	0.222919080039193
"31016"	"C2"	6.89637546323	8.24864765361	1.93099597840331	0.145003705980306
"31017"	"C2"	3.31952457811	6.4851088482	1.19982157330993	0.301247957793209
"31018"	"C2"	4.093814710435	4.88183815519	1.40923980215476	0.244386967663916
"31019"	"C2"	4.33763041825	4.36770068039	1.46732821242903	0.230540618627312
"31020"	"C2"	7.08229776222	5.16029867282	1.95759839773948	0.141197113362619
"31021"	"C2"	2.85246484535	4.16532099876	1.0481834785239	0.350573996251056
"31022"	"C2"	9.13866162875	5.25294786121	2.21251394462924	0.109425213518577
"31023"	"C2"	5.833285096695	8.6380747669	1.76349778759107	0.171458289461601
"31024"	"C2"	3.44193930863	7.378882888565	1.23575007902561	0.290699528604568
"31025"	"C2"	6.22952692736	4.94964554369	1.82930039530302	0.160525833126752
"31026"	"C2"	4.58331738084	5.01641643693	1.52242305489441	0.218182577575879
"31027"	"C2"	4.414593512165	6.05217273078	1.47935396959941	0.229055217713756
"31028"	"C2"	2.88550087298	6.07038185566	1.05969638974983	0.346561744372206
"31030"	"C2"	4.05933805808	6.94725962842	1.39551462212785	0.249072982310113
"31002"	"C3"	4.06161568013	7.101769520865	1.40148788846618	0.246253217824136
"31003"	"C3"	3.42703059475	5.28733266117	1.23169417041317	0.291797803478013
"31004"	"C3"	1.5666483481	3.8831648675	0.448428997576243	0.638956138455588
"31005"	"C3"	8.42067115296	12.8867882136	2.13068953445528	0.118755379688291
"31006"	"C3"	3.03316813541	6.38292328134	1.1096076625178	0.329688284775822
"31007"	"C3"	5.18643399309	5.49404276749	1.64604636913181	0.192810706032762
"31008"	"C3"	3.55814030681	4.48320223464	1.26910367680082	0.28112121544945
"31009"	"C3"	5.610312163925	5.620200032125	1.72456652492397	0.178257403236251
"31010"	"C3"	5.91274385576	5.02897439856	1.77710999707071	0.169126216929866
"31011"	"C3"	6.79265051264	5.69869649557	1.91584122072432	0.14721793770181
"31013"	"C3"	4.30243774063	8.06781347367	1.45918177848869	0.232426373206175
"31014"	"C3"	6.909040116675	5.24796225014	1.93282944829359	0.144738273100576
"31015"	"C3"	4.69077614977	4.56171741878	1.54559805912225	0.213184336252974
"31016"	"C3"	6.79352049614	6.34934859545	1.91596928969984	0.147199084858607
"31017"	"C3"	4.093167949465	7.24615406728	1.40013110022179	0.248840544686779
"31018"	"C3"	4.00939861925	5.1392735668	1.38864125980997	0.249413963280872
"31019"	"C3"	4.85283020715	4.23034351366	1.57956208261752	0.206065318033718
"31020"	"C3"	7.348297130185	5.51319712287	1.99432437234165	0.136125211873253
"31021"	"C3"	2.843855568675	3.73994003725	1.04502528430859	0.351730562990011
"31022"	"C3"	8.30314371232	7.126576757995	2.11650413584243	0.120467645030871
"31023"	"C3"	6.488121014575	9.510052351035	1.86901297826073	0.154424034781812
"31024"	"C3"	4.91614385039	10.3119077524	1.5925244529498	0.203411460370646
"31025"	"C3"	3.85310911067	5.34376051162	1.34886081624196	0.259540829698719
"31026"	"C3"	4.66029779793	5.06494062344	1.5390793512309	0.214578562006097
"31027"	"C3"	4.66944129379	6.15525149951	1.54103942721962	0.214158383644297
"31028"	"C3"	3.16478975419	6.06970800097	1.1520865923605	0.315976776650785
"31030"	"C3"	5.05233266405	7.209983338225	1.61980508801427	0.197946175586078
