"Subject"	"Structure"	"Chunks"	"encoding.rt"	"execution.rt"	"LogEncoding"	"EncodingSpeed"
"31002"	"BUUxy"	"C2"	2.05398934359	4.29421774701	0.7197839233673	0.486857443112232
"31003"	"BUUxy"	"C2"	1.949194054425	3.61351935694	0.663000977854791	0.517582692679226
"31004"	"BUUxy"	"C2"	1.15000891406	2.63324964506	0.139769693701639	0.869558477133532
"31005"	"BUUxy"	"C2"	5.02360766154	7.60702950647	1.6140959995897	0.199080967348502
"31006"	"BUUxy"	"C2"	1.966692764355	5.39966355878	0.676353331334163	0.508467829743964
"31007"	"BUUxy"	"C2"	4.19103652171	3.38661082902	1.43201187447859	0.239051644233766
"31008"	"BUUxy"	"C2"	2.424906915765	3.44981355776	0.884083907867999	0.413799104676749
"31009"	"BUUxy"	"C2"	2.89893019662	4.74679617182	1.06434177121569	0.344954839259651
"31010"	"BUUxy"	"C2"	2.4305004871	4.35743110135	0.888097197914791	0.4114378932683
"31011"	"BUUxy"	"C2"	2.381507854375	3.90137643656	0.866099951343956	0.421276427509565
"31012"	"BUUxy"	"C2"	2.66118459211	3.41462811214	0.978771359040937	0.37577250483294
"31013"	"BUUxy"	"C2"	2.62481955008	5.85353853327	0.965012150854024	0.380978570496216
"31014"	"BUUxy"	"C2"	5.43515054203	3.38484084187	1.69288721881515	0.183987544092294
"31015"	"BUUxy"	"C2"	2.80751935903	2.71336148895	1.03216283887173	0.356284975752505
"31016"	"BUUxy"	"C2"	4.30633423402	3.21152982686	1.46008701646399	0.232216067229527
"31017"	"BUUxy"	"C2"	1.26233885955	4.43018978069	0.228499385229083	0.799289131123125
"31018"	"BUUxy"	"C2"	3.05020856074	3.22145724094	1.11520996885197	0.327846434132817
"31019"	"BUUxy"	"C2"	1.586291370505	3.55855343994	0.458765069777438	0.633730610667731
"31020"	"BUUxy"	"C2"	5.544247107825	4.358526037805	1.71261857032858	0.180418467358326
"31021"	"BUUxy"	"C2"	2.09463047533	2.49875605479	0.739377153725906	0.477411176710037
"31022"	"BUUxy"	"C2"	5.65193628602	5.94125595877	1.7319981919385	0.17693051538346
"31023"	"BUUxy"	"C2"	3.29716659067	7.58481277478	1.19306349076882	0.303290711130491
"31024"	"BUUxy"	"C2"	1.68314411391	7.55049570577	0.520663540722736	0.594126190226793
"31025"	"BUUxy"	"C2"	2.236555315	3.592324088415	0.800871354916037	0.450766490311124
"31026"	"BUUxy"	"C2"	2.79553908549	4.14015162518	1.02628482093629	0.358959870201022
"31027"	"BUUxy"	"C2"	1.82266510489	4.5428930991	0.600299773329656	0.548647141659274
"31028"	"BUUxy"	"C2"	1.91107742907	3.91483638682	0.647667182004041	0.523265036145938
"31030"	"BUUxy"	"C2"	1.94431976025	5.340807736735	0.664900503575083	0.514330703231846
"31002"	"UUBxy"	"C2"	1.81426635135	4.334776395755	0.593775018650986	0.553292289068028
"31003"	"UUBxy"	"C2"	1.664578850175	3.118080590005	0.507308108765096	0.60347898016746
"31004"	"UUBxy"	"C2"	0.916709754085	2.27495600292	-0.0884538263708737	1.09411222291933
"31005"	"UUBxy"	"C2"	4.60194068749	5.89998323675	1.52647686433972	0.217300166484498
"31006"	"UUBxy"	"C2"	2.349991085945	4.383026793825	0.854184515331236	0.425726781808016
"31007"	"UUBxy"	"C2"	3.64140802414	3.20729944275	1.29237042667183	0.274619046635449
"31008"	"UUBxy"	"C2"	2.84984360206	3.141536289405	1.04616895539756	0.351665867417011
"31009"	"UUBxy"	"C2"	3.52586090141	3.375106257665	1.25842016526069	0.284587163862111
"31010"	"UUBxy"	"C2"	2.74297839461	3.8311403096	1.00904433536958	0.364567217140688
"31011"	"UUBxy"	"C2"	3.04487233553	3.907290973675	1.11234600482484	0.329152853666242
"31012"	"UUBxy"	"C2"	2.72639563805	3.40002388469	1.00298045775795	0.366784624375071
"31013"	"UUBxy"	"C2"	1.800385379785	4.479375602155	0.587999338410325	0.555438195702212
"31014"	"UUBxy"	"C2"	3.76670856896	4.165599394705	1.32594656905824	0.265619199524662
"31015"	"UUBxy"	"C2"	2.24482677043	2.565345477485	0.808602315775395	0.445491872526079
"31016"	"UUBxy"	"C2"	3.974919167185	3.27794904602	1.37975999207419	0.251700454392571
"31017"	"UUBxy"	"C2"	1.30345236562	4.26241961581	0.265016410279119	0.767193360015377
"31018"	"UUBxy"	"C2"	2.49637455332	3.66986055005	0.907122261581433	0.406811631522159
"31019"	"UUBxy"	"C2"	1.89498785805	2.75126853012	0.637571851624407	0.529442203911043
"31020"	"UUBxy"	"C2"	5.68574119289	3.64325702612	1.73796149564172	0.175878564654068
"31021"	"UUBxy"	"C2"	2.339993021715	3.11721414374	0.850146867399537	0.42735262469053
"31022"	"UUBxy"	"C2"	4.85160963368	4.88644399603	1.57931053312132	0.206117160180814
"31023"	"UUBxy"	"C2"	3.844856464225	7.337371795255	1.34537801336276	0.26079522582958
"31024"	"UUBxy"	"C2"	2.122036990445	4.68737744716	0.752136190922579	0.471471836722816
"31025"	"UUBxy"	"C2"	1.8339350724	3.14393797074	0.606463971026576	0.545275574391703
"31026"	"UUBxy"	"C2"	2.196905377925	3.050094297665	0.786934434647225	0.455290707903399
"31027"	"UUBxy"	"C2"	2.13738446393	4.30099169152	0.759582868405345	0.467861546144723
"31028"	"UUBxy"	"C2"	1.15762757656	4.12755223993	0.146118017315077	0.864275827447502
"31030"	"UUBxy"	"C2"	2.74522011128	7.402654857955	1.00888873028008	0.364978729458185
"31002"	"UBUxy"	"C3"	2.260398655475	4.293765374925	0.814335370891369	0.443468037843274
